Groupe;data;archi_web;tech_env;data-archi_web;data-tech_env;archi_web-data;archi_web-tech_env;tech_env-data;tech_env-archi_web;Effectif
Réussite;0.3356;0.2481;0.2085;0.0373;0.0342;0.0398;0.0336;0.0274;0.0354;53
Échec;0.294;0.2922;0.2232;0.0378;0.0241;0.0392;0.035;0.0201;0.0343;37
