support,pattern
35,"[69, 42, 8]"
33,"[69, 42, 27]"
35,"[69, 42, 17]"
36,"[69, 42, 0]"
20,"[69, 42, 3]"
15,"[69, 42, 1]"
36,"[69, 42, 29]"
33,"[69, 42, 6]"
36,"[69, 42, 10]"
17,"[69, 42, 11]"
34,"[69, 42, 56]"
20,"[69, 42, 57]"
31,"[69, 42, 35]"
28,"[69, 42, 58]"
24,"[69, 42, 49]"
21,"[69, 42, 55]"
13,"[69, 42, 21]"
36,"[69, 42, 13]"
36,"[69, 42, 53]"
26,"[69, 42, 43]"
15,"[69, 42, 31]"
27,"[69, 42, 4]"
13,"[69, 42, 39]"
12,"[69, 42, 5]"
20,"[69, 42, 9]"
21,"[69, 42, 7]"
15,"[69, 42, 59]"
23,"[69, 15]"
18,"[69, 15, 16]"
18,"[69, 15, 51]"
16,"[69, 15, 68]"
18,"[69, 15, 14]"
17,"[69, 15, 12]"
23,"[69, 15, 70]"
16,"[69, 15, 62]"
20,"[69, 15, 34]"
20,"[69, 15, 33]"
22,"[69, 15, 28]"
20,"[69, 15, 54]"
23,"[69, 15, 69]"
12,"[69, 15, 66]"
20,"[69, 15, 42]"
21,"[69, 15, 25]"
19,"[69, 15, 48]"
15,"[69, 15, 20]"
17,"[69, 15, 37]"
15,"[69, 15, 26]"
14,"[69, 15, 50]"
15,"[69, 15, 60]"
20,"[69, 15, 32]"
19,"[69, 15, 18]"
20,"[69, 15, 8]"
19,"[69, 15, 27]"
20,"[69, 15, 17]"
22,"[69, 15, 0]"
22,"[69, 15, 29]"
18,"[69, 15, 6]"
21,"[69, 15, 10]"
22,"[69, 15, 56]"
19,"[69, 15, 35]"
16,"[69, 15, 58]"
15,"[69, 15, 49]"
19,"[69, 15, 13]"
18,"[69, 15, 53]"
16,"[69, 15, 4]"
13,"[69, 15, 43]"
26,"[69, 16]"
19,"[69, 16, 51]"
14,"[69, 16, 16]"
20,"[69, 16, 68]"
17,"[69, 16, 14]"
18,"[69, 16, 12]"
26,"[69, 16, 70]"
15,"[69, 16, 62]"
25,"[69, 16, 34]"
25,"[69, 16, 33]"
25,"[69, 16, 28]"
24,"[69, 16, 54]"
24,"[69, 16, 69]"
22,"[69, 16, 42]"
23,"[69, 16, 25]"
22,"[69, 16, 48]"
20,"[69, 16, 20]"
