support,pattern
34,"[69, 43, 27]"
35,"[69, 43, 17]"
32,"[69, 43, 29]"
34,"[69, 43, 0]"
26,"[69, 43, 10]"
26,"[69, 43, 56]"
29,"[69, 43, 35]"
25,"[69, 43, 58]"
17,"[69, 43, 1]"
21,"[69, 43, 60]"
29,"[69, 43, 4]"
25,"[69, 43, 3]"
31,"[69, 43, 6]"
18,"[69, 43, 7]"
20,"[69, 43, 31]"
33,"[69, 43, 51]"
21,"[69, 43, 43]"
27,"[69, 43, 42]"
19,"[69, 43, 9]"
43,"[69, 14]"
23,"[69, 14, 68]"
37,"[69, 14, 13]"
24,"[69, 14, 16]"
33,"[69, 14, 53]"
42,"[69, 14, 69]"
29,"[69, 14, 12]"
43,"[69, 14, 70]"
36,"[69, 14, 34]"
38,"[69, 14, 33]"
38,"[69, 14, 28]"
40,"[69, 14, 25]"
33,"[69, 14, 49]"
40,"[69, 14, 48]"
41,"[69, 14, 54]"
38,"[69, 14, 32]"
35,"[69, 14, 18]"
31,"[69, 14, 55]"
38,"[69, 14, 20]"
33,"[69, 14, 37]"
33,"[69, 14, 26]"
28,"[69, 14, 50]"
36,"[69, 14, 8]"
40,"[69, 14, 27]"
42,"[69, 14, 17]"
40,"[69, 14, 29]"
42,"[69, 14, 0]"
35,"[69, 14, 10]"
34,"[69, 14, 56]"
19,"[69, 14, 11]"
18,"[69, 14, 57]"
35,"[69, 14, 35]"
37,"[69, 14, 58]"
19,"[69, 14, 59]"
21,"[69, 14, 1]"
26,"[69, 14, 60]"
30,"[69, 14, 4]"
31,"[69, 14, 3]"
38,"[69, 14, 6]"
24,"[69, 14, 7]"
21,"[69, 14, 31]"
34,"[69, 14, 42]"
39,"[69, 14, 51]"
20,"[69, 14, 9]"
21,"[69, 14, 43]"
27,"[69, 14, 14]"
17,"[69, 14, 36]"
17,"[69, 14, 65]"
20,"[69, 14, 63]"
28,"[69, 68]"
18,"[69, 68, 13]"
17,"[69, 68, 16]"
26,"[69, 68, 53]"
25,"[69, 68, 69]"
16,"[69, 68, 12]"
27,"[69, 68, 70]"
24,"[69, 68, 34]"
25,"[69, 68, 33]"
24,"[69, 68, 28]"
25,"[69, 68, 25]"
24,"[69, 68, 49]"
26,"[69, 68, 48]"
25,"[69, 68, 54]"
27,"[69, 68, 32]"
25,"[69, 68, 18]"
20,"[69, 68, 55]"
23,"[69, 68, 20]"
21,"[69, 68, 37]"
19,"[69, 68, 26]"
16,"[69, 68, 50]"
26,"[69, 68, 8]"
24,"[69, 68, 27]"
26,"[69, 68, 17]"
26,"[69, 68, 29]"
26,"[69, 68, 0]"
20,"[69, 68, 10]"
21,"[69, 68, 56]"
23,"[69, 68, 35]"
23,"[69, 68, 58]"
17,"[69, 68, 1]"
24,"[69, 68, 4]"
19,"[69, 68, 3]"
26,"[69, 68, 6]"
19,"[69, 68, 31]"
20,"[69, 68, 51]"
19,"[69, 68, 42]"
16,"[69, 68, 14]"
34,"[69, 16]"
25,"[69, 16, 68]"
28,"[69, 16, 53]"
31,"[69, 16, 69]"
20,"[69, 16, 12]"
33,"[69, 16, 70]"
30,"[69, 16, 34]"
29,"[69, 16, 33]"
30,"[69, 16, 28]"
30,"[69, 16, 25]"
29,"[69, 16, 49]"
32,"[69, 16, 48]"
31,"[69, 16, 54]"
32,"[69, 16, 32]"
31,"[69, 16, 18]"
24,"[69, 16, 55]"
28,"[69, 16, 20]"
26,"[69, 16, 37]"
24,"[69, 16, 26]"
22,"[69, 16, 50]"
33,"[69, 16, 8]"
30,"[69, 16, 27]"
32,"[69, 16, 17]"
30,"[69, 16, 29]"
31,"[69, 16, 0]"
26,"[69, 16, 10]"
25,"[69, 16, 56]"
29,"[69, 16, 35]"
27,"[69, 16, 58]"
18,"[69, 16, 1]"
19,"[69, 16, 60]"
26,"[69, 16, 4]"
24,"[69, 16, 3]"
30,"[69, 16, 6]"
18,"[69, 16, 7]"
22,"[69, 16, 13]"
20,"[69, 16, 31]"
22,"[69, 16, 42]"
24,"[69, 16, 51]"
17,"[69, 16, 43]"
19,"[69, 16, 14]"
16,"[69, 16, 9]"
47,"[69, 53]"
44,"[69, 53, 69]"
32,"[69, 53, 12]"
47,"[69, 53, 70]"
43,"[69, 53, 34]"
41,"[69, 53, 33]"
43,"[69, 53, 28]"
44,"[69, 53, 25]"
39,"[69, 53, 49]"
46,"[69, 53, 48]"
45,"[69, 53, 54]"
45,"[69, 53, 32]"
42,"[69, 53, 18]"
35,"[69, 53, 55]"
41,"[69, 53, 20]"
36,"[69, 53, 37]"
36,"[69, 53, 26]"
31,"[69, 53, 50]"
43,"[69, 53, 8]"
43,"[69, 53, 27]"
47,"[69, 53, 17]"
43,"[69, 53, 29]"
45,"[69, 53, 0]"
37,"[69, 53, 10]"
37,"[69, 53, 56]"
19,"[69, 53, 11]"
21,"[69, 53, 57]"
40,"[69, 53, 35]"
36,"[69, 53, 58]"
18,"[69, 53, 59]"
20,"[69, 53, 1]"
29,"[69, 53, 60]"
35,"[69, 53, 4]"
34,"[69, 53, 3]"
43,"[69, 53, 6]"
27,"[69, 53, 7]"
34,"[69, 53, 13]"
18,"[69, 53, 68]"
35,"[69, 53, 53]"
23,"[69, 53, 16]"
22,"[69, 53, 31]"
33,"[69, 53, 42]"
36,"[69, 53, 51]"
21,"[69, 53, 43]"
19,"[69, 53, 36]"
28,"[69, 53, 14]"
24,"[69, 53, 9]"
16,"[69, 53, 65]"
19,"[69, 53, 63]"
53,"[69, 69]"
43,"[69, 69, 12]"
53,"[69, 69, 70]"
46,"[69, 69, 34]"
46,"[69, 69, 33]"
47,"[69, 69, 28]"
48,"[69, 69, 25]"
40,"[69, 69, 49]"
50,"[69, 69, 48]"
49,"[69, 69, 54]"
49,"[69, 69, 32]"
45,"[69, 69, 18]"
36,"[69, 69, 55]"
46,"[69, 69, 20]"
39,"[69, 69, 37]"
39,"[69, 69, 26]"
34,"[69, 69, 50]"
47,"[69, 69, 8]"
49,"[69, 69, 27]"
52,"[69, 69, 17]"
50,"[69, 69, 29]"
51,"[69, 69, 69]"
17,"[69, 69, 21]"
51,"[69, 69, 0]"
44,"[69, 69, 10]"
42,"[69, 69, 56]"
22,"[69, 69, 11]"
24,"[69, 69, 57]"
44,"[69, 69, 35]"
42,"[69, 69, 58]"
22,"[69, 69, 59]"
24,"[69, 69, 1]"
31,"[69, 69, 60]"
38,"[69, 69, 4]"
39,"[69, 69, 3]"
49,"[69, 69, 6]"
32,"[69, 69, 7]"
43,"[69, 69, 13]"
25,"[69, 69, 68]"
43,"[69, 69, 53]"
28,"[69, 69, 16]"
25,"[69, 69, 31]"
17,"[69, 69, 5]"
45,"[69, 69, 42]"
47,"[69, 69, 51]"
31,"[69, 69, 43]"
20,"[69, 69, 36]"
35,"[69, 69, 14]"
28,"[69, 69, 9]"
21,"[69, 69, 65]"
17,"[69, 69, 67]"
24,"[69, 69, 63]"
53,"[69, 70]"
47,"[69, 70, 34]"
47,"[69, 70, 33]"
48,"[69, 70, 28]"
49,"[69, 70, 25]"
40,"[69, 70, 49]"
50,"[69, 70, 48]"
52,"[69, 70, 70]"
51,"[69, 70, 54]"
48,"[69, 70, 32]"
46,"[69, 70, 18]"
37,"[69, 70, 55]"
47,"[69, 70, 20]"
39,"[69, 70, 37]"
39,"[69, 70, 26]"
34,"[69, 70, 50]"
45,"[69, 70, 8]"
47,"[69, 70, 27]"
51,"[69, 70, 17]"
48,"[69, 70, 29]"
50,"[69, 70, 69]"
50,"[69, 70, 0]"
42,"[69, 70, 10]"
41,"[69, 70, 56]"
19,"[69, 70, 11]"
21,"[69, 70, 57]"
45,"[69, 70, 35]"
41,"[69, 70, 58]"
22,"[69, 70, 59]"
21,"[69, 70, 1]"
31,"[69, 70, 60]"
36,"[69, 70, 4]"
39,"[69, 70, 3]"
47,"[69, 70, 6]"
30,"[69, 70, 7]"
39,"[69, 70, 13]"
16,"[69, 70, 68]"
38,"[69, 70, 53]"
20,"[69, 70, 16]"
26,"[69, 70, 31]"
16,"[69, 70, 5]"
41,"[69, 70, 42]"
35,"[69, 70, 12]"
39,"[69, 70, 51]"
24,"[69, 70, 43]"
20,"[69, 70, 36]"
29,"[69, 70, 14]"
24,"[69, 70, 9]"
20,"[69, 70, 65]"
24,"[69, 70, 63]"
47,"[69, 34]"
46,"[69, 34, 33]"
47,"[69, 34, 28]"
47,"[69, 34, 25]"
36,"[69, 34, 49]"
46,"[69, 34, 48]"
47,"[69, 34, 70]"
44,"[69, 34, 54]"
37,"[69, 34, 32]"
36,"[69, 34, 18]"
32,"[69, 34, 55]"
42,"[69, 34, 20]"
37,"[69, 34, 37]"
34,"[69, 34, 26]"
30,"[69, 34, 50]"
34,"[69, 34, 8]"
38,"[69, 34, 27]"
46,"[69, 34, 17]"
44,"[69, 34, 29]"
42,"[69, 34, 69]"
40,"[69, 34, 0]"
30,"[69, 34, 10]"
28,"[69, 34, 56]"
33,"[69, 34, 35]"
29,"[69, 34, 58]"
19,"[69, 34, 1]"
28,"[69, 34, 60]"
29,"[69, 34, 4]"
29,"[69, 34, 3]"
39,"[69, 34, 6]"
24,"[69, 34, 7]"
33,"[69, 34, 34]"
26,"[69, 34, 13]"
26,"[69, 34, 53]"
16,"[69, 34, 31]"
30,"[69, 34, 42]"
26,"[69, 34, 12]"
28,"[69, 34, 51]"
18,"[69, 34, 36]"
20,"[69, 34, 14]"
17,"[69, 34, 63]"
47,"[69, 33]"
47,"[69, 33, 28]"
47,"[69, 33, 25]"
37,"[69, 33, 49]"
46,"[69, 33, 48]"
47,"[69, 33, 70]"
46,"[69, 33, 54]"
31,"[69, 33, 32]"
30,"[69, 33, 18]"
33,"[69, 33, 55]"
42,"[69, 33, 20]"
38,"[69, 33, 37]"
