Campus,Login_LDAP,Genre,Dernier diplôme obtenu,Note test TP,Note contrôle continu,Moyenne
Brest,259,Masculin,CPGE,10.6,13.12,11.36
Brest,253,Féminin,Génie Électrique et Informatique Industrielle,12.54,14.95,13.26
Brest,2524,Masculin,Informatique,18.19,19.7,18.64
Brest,2518,Masculin,Réseaux et Télécommunications,13.98,13.36,13.79
Rennes,2536,Masculin,Réseaux et Télécommunications,19.31,18.45,19.05
Brest,2554,Masculin,Réseaux et Télécommunications,15.75,13.86,15.18
Rennes,2574,Masculin,Réseaux et Télécommunications,18.47,17.6,18.21
Rennes,2570,Masculin,Réseaux et Télécommunications,13.46,15.21,13.99
Brest,2525,Masculin,Génie Électrique et Informatique Industrielle,15.45,16.53,15.77
Brest,2545,Masculin,Réseaux et Télécommunications,9.41,13.29,10.57
Rennes,2568,Féminin,Réseaux et Télécommunications,15.29,14.6,15.08
Rennes,2569,Masculin,Informatique,15.59,16.0,15.71
Brest,2546,Féminin,Réseaux et Télécommunications,14.63,16.17,15.09
Brest,2550,Masculin,Informatique,18.85,14.67,17.6
Rennes,2567,Masculin,Réseaux et Télécommunications,15.79,14.9,15.52
Brest,2522,Masculin,Informatique,16.96,19.11,17.61
Brest,2544,Masculin,Réseaux et Télécommunications,10.5,13.99,11.55
Brest,2513,Masculin,Génie Électrique et Informatique Industrielle,15.88,14.03,15.33
Rennes,2566,Masculin,Génie Électrique et Informatique Industrielle,13.84,16.58,14.66
Rennes,2535,Masculin,Génie Électrique et Informatique Industrielle,16.88,17.36,17.02
Brest,2533,Masculin,Génie Électrique et Informatique Industrielle,9.79,17.69,12.16
Brest,2547,Masculin,CPGE,12.57,13.12,12.74
Brest,2512,Masculin,Réseaux et Télécommunications,11.29,14.08,12.13
Brest,2556,Féminin,Réseaux et Télécommunications,17.94,16.0,17.36
Brest,2527,Masculin,CPGE,14.52,18.61,15.75
Rennes,2573,Masculin,Réseaux et Télécommunications,17.24,16.73,17.09
Brest,2553,Masculin,CPGE,14.56,13.29,14.18
Brest,2510,Masculin,CPGE,14.58,17.64,15.5
Brest,2529,Masculin,Réseaux et Télécommunications,16.08,19.7,17.17
Brest,2543,Masculin,Réseaux et Télécommunications,16.88,16.64,16.81
Brest,2540,Masculin,Réseaux et Télécommunications,11.29,14.72,12.32
Rennes,2562,Masculin,Informatique,18.81,17.48,18.41
Brest,2521,Masculin,Génie Électrique et Informatique Industrielle,12.95,17.69,14.37
Brest,2548,Féminin,Réseaux et Télécommunications,15.96,16.17,16.02
Rennes,2571,Masculin,CPGE,18.13,15.36,17.3
Brest,2552,Masculin,Informatique,16.1,15.82,16.02
Brest,2511,Masculin,CPGE,12.98,11.54,12.55
Brest,258,Masculin,Réseaux et Télécommunications,12.29,18.39,14.12
Rennes,2572,Féminin,Informatique,17.13,18.45,17.53
Brest,2523,Masculin,CPGE,15.54,15.54,15.54
Brest,2530,Masculin,CPGE,12.96,11.54,12.53
Brest,2515,Masculin,Réseaux et Télécommunications,11.85,10.6,11.48
Rennes,2563,Masculin,Réseaux et Télécommunications,14.84,16.28,15.27
Brest,2519,Féminin,Informatique,15.92,15.82,15.89
Rennes,2564,Masculin,Réseaux et Télécommunications,17.65,15.12,16.89
Brest,2520,Masculin,CPGE,6.46,19.43,10.35
Brest,252,Masculin,Réseaux et Télécommunications,13.38,13.36,13.37
Rennes,2557,Masculin,Réseaux et Télécommunications,18.02,17.03,17.72
Brest,2514,Féminin,Génie Électrique et Informatique Industrielle,12.69,17.72,14.2
Brest,257,Masculin,Génie Électrique et Informatique Industrielle,13.4,13.95,13.57
Rennes,2561,Masculin,Réseaux et Télécommunications,15.17,16.28,15.5
Brest,2541,Masculin,Réseaux et Télécommunications,15.25,15.25,15.25
Brest,2551,Féminin,Génie Électrique et Informatique Industrielle,7.96,13.36,9.58
Brest,2517,Masculin,Réseaux et Télécommunications,13.52,16.31,14.36
Rennes,2565,Masculin,Réseaux et Télécommunications,16.9,15.12,16.37
Rennes,2575,Féminin,Réseaux et Télécommunications,16.63,17.6,16.92
Brest,256,Féminin,CPGE,12.58,16.31,13.7
Brest,2526,Masculin,Réseaux et Télécommunications,13.38,13.95,13.55
Brest,2539,Masculin,Informatique,13.75,17.64,14.92
Brest,2549,Masculin,Réseaux et Télécommunications,17.31,19.19,17.87
Brest,2542,Masculin,Informatique,15.21,17.87,16.01
Brest,2531,Masculin,Réseaux et Télécommunications,12.63,19.43,14.67
Rennes,2558,Masculin,CPGE,16.9,17.36,17.04
Brest,2534,Masculin,Génie Électrique et Informatique Industrielle,14.9,15.89,15.2
Brest,255,Masculin,Réseaux et Télécommunications,13.52,18.39,14.98
Brest,2516,Masculin,CPGE,6.38,14.08,8.69
Brest,2528,Masculin,Mesures Physiques,10.46,17.87,12.68
